"";"冰箱";"冷氣";"區";"地址";"坪數";"型態";"天然瓦斯";"床";"性別要求";"押金";"捷運站";"最短租期";"格局";"桌子";"椅子";"樓層";"沙發";"洗衣機";"火車站";"熱水器";"第四台";"網路";"編號";"衣櫃";"身份要求";"車 位";"開伙";"隔間材料";"電視";"養寵物";"現況";"總價格"
"91";1;1;"新莊區";"新北市新莊區中平路292巷";6;"電梯大樓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;0;"11";0;1;0;1;0;1;6287306;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"92";1;1;"文山區";"台北市文山區恆光街30巷20號";8;"公寓";1;1;"男女生皆可";"一個月";1;"一年";"有陽臺";1;1;"3";1;1;0;1;0;0;6291419;0;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"雅房";8000
"93";1;1;"新店區";"新北市新店區安忠路";4;"別墅";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"2";1;1;0;1;1;1;6291701;1;"0";"無";"不可以";"輕材料";1;"不可以";"雅房";4500
"94";0;1;"松山區";"台北市松山區八德路四段204巷";13;"公寓";0;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"頂樓加蓋";0;1;1;1;0;1;6292751;1;"學生、上班族";"無";"可以";"木板";0;"不可以";"雅房";8500
"95";1;1;"信義區";"台北市信義區光復南路445號";4;"公寓";1;1;"男生";"二個月";1;"一年";"0";1;1;"3";0;1;1;1;1;1;6296552;1;"學生、上班族";"無";"不可以";"0";0;"不可以";"雅房";5500
"96";1;1;"板橋區";"新北市板橋區僑中二街116巷22號";4;"公寓";0;1;"男生";"面議";0;"一年";"0";1;1;"4";0;1;1;1;0;1;6298743;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5000
"97";1;1;"中和區";"新北市中和區中安街178巷";4;"透天厝";1;1;"女生";"二個月";0;"一年";"0";1;1;"1";0;1;0;1;0;1;6299188;1;"0";"無";"不可以";"0";0;"不可以";"雅房";4000
"98";1;1;"南港區";"台北市南港區福德街339巷";3;"公寓";1;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"2";0;1;0;1;0;1;6299466;1;"上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";6000
"99";1;1;"萬華區";"台北市萬華區柳州街86巷";4;"公寓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"1";0;1;0;1;0;0;6302465;1;"學生、上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";8000
"100";1;1;"萬華區";"台北市萬華區內江街55巷18號";6;"透天厝";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"頂樓加蓋";1;1;0;1;0;1;6302529;1;"0";"無";"不可以";"0";1;"不可以";"雅房";8500
"101";1;1;"板橋區";"新北市板橋區重慶路12巷";3;"公寓";0;1;"女生";"一個月";1;"一年";"有陽臺";1;1;"2";0;1;1;1;0;0;6302673;1;"學生、上班族、家庭";"無";"不可以";"輕材料";0;"不可以";"雅房";4300
"102";1;1;"新店區";"新北市新店區建國路293巷";5,6;"公寓";0;1;"男女生皆可";"一個月";1;"一年";"有陽臺";1;1;"6";0;1;0;1;0;1;6302750;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5800
"103";1;1;"內湖區";"台北市內湖區康樂街110巷";5;"公寓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"4";0;1;0;1;1;1;6302781;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";6500
"104";0;1;"中山區";"台北市中山區合江街";4;"電梯大樓";1;1;"女生";"一個月";0;"一年";"0";1;1;"8";0;1;0;1;0;1;6302789;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6500
