,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,編號,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
97,0,0,永和區,新北市永和區永寧街62巷,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,0,0,1,0,1,6378783,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
98,1,1,士林區,台北市士林區忠義街,4,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,0,1,0,0,0,1,6391440,1,0,無,不可以,水泥磚牆,1,不可以,雅房,5000
99,1,1,士林區,台北市士林區忠義街,6,公寓,0,1,男女生皆可,二個月,0,90,0,0,0,1,1,地下,0,1,0,0,0,1,6398934,1,0,無,不可以,水泥磚牆,1,不可以,雅房,5500
100,1,0,永和區,新北市永和區中正路151巷3弄5號,5,公寓,1,1,女生,一個月,1,180,0,0,0,1,1,地下,0,1,0,1,0,1,6408030,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,4000
101,1,1,新店區,新北市新店區寶慶街32巷,4,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,地下,0,0,0,1,0,1,6420613,1,學生、上班族,無,可以,其他,0,不可以,雅房,5000
102,1,1,士林區,台北市士林區克強路,4,電梯大樓,0,1,男生,二個月,0,365,0,0,0,1,1,地下,0,1,0,1,1,1,6422006,1,學生、上班族,無,不可以,其他,1,不可以,雅房,4500
103,1,1,三重區,新北市三重區成功路,5,公寓,1,1,女生,面議,1,180,0,0,0,0,0,>=6,0,1,1,1,1,1,6403539,1,0,無,可以,水泥磚牆,1,不可以,雅房,6500
104,1,1,中和區,新北市中和區景平路,4,電梯大樓,1,1,女生,面議,1,30,1,0,0,1,1,>=6,1,1,0,1,1,1,6405522,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,5500
105,1,1,土城區,新北市土城區延壽路,4,電梯大樓,1,1,女生,二個月,1,180,0,0,0,1,1,>=6,1,1,0,1,0,1,6338937,1,學生、上班族,平面式停車位，費用另計,可以,水泥磚牆,0,不可以,雅房,4300
106,1,1,板橋區,新北市板橋區重慶路,7,電梯大樓,1,1,男女生皆可,二個月,0,180,0,0,0,1,1,>=6,1,1,0,1,1,1,6383531,1,學生、上班族、家庭,無,不可以,其他,1,不可以,雅房,6700
107,1,1,汐止區,新北市汐止區大同路二段279號,4,電梯大樓,1,1,女生,二個月,0,365,0,0,0,1,1,>=6,1,1,1,1,1,1,6383943,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,雅房,6200
108,1,1,新莊區,新北市新莊區中華路,5,電梯大樓,1,1,女生,二個月,1,90,1,0,0,1,1,>=6,1,1,0,1,1,1,6408601,1,上班族,無,可以,水泥磚牆,1,不可以,雅房,6000
109,1,0,新店區,新北市新店區安祥路110巷17弄5號,3,電梯大樓,1,1,男生,二個月,0,365,1,0,0,1,1,>=6,0,1,0,1,0,0,6387747,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,3000
110,1,1,汐止區,新北市汐止區湖前街110巷97弄2號,5,電梯大樓,1,1,男生,二個月,0,365,0,0,0,1,1,>=6,1,1,0,1,0,1,6396540,1,上班族,機械式停車位，費用另計,可以,水泥磚牆,1,不可以,雅房,6000
111,1,1,三峽區,新北市三峽區國慶路,6,電梯大樓,1,1,男女生皆可,二個月,0,90,0,0,1,1,1,>=6,1,1,0,1,0,0,6351582,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,8000
112,0,1,大安區,台北市大安區光復南路,9,電梯大樓,0,1,女生,二個月,1,365,1,0,0,0,0,>=6,0,1,1,1,0,0,6403169,0,學生、上班族、家庭,無,不可以,複合式建材,1,不可以,雅房,10025
113,1,1,汐止區,新北市汐止區大同路二段285號,6,電梯大樓,1,1,女生,二個月,1,365,1,0,0,1,1,>=6,1,1,1,1,0,0,6366647,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,5500
114,1,0,萬華區,台北市萬華區青年路152巷2號,5,電梯大樓,1,1,男女生皆可,一個月,0,365,1,0,0,0,0,>=6,0,1,0,1,0,1,6323046,0,0,無,不可以,水泥磚牆,1,不可以,雅房,6500
