,冰箱,冷氣,區,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
87,0,0,三重區,4,公寓,0,1,男女生皆可,二個月,0,180,0,0,0,1,1,地下,0,1,0,1,1,0,1,0,無,不可以,其他,1,不可以,雅房,4200
88,0,1,新莊區,3,電梯大樓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,0,1,0,1,1,0,1,學生、上班族、家庭,無,不可以,木板,1,不可以,雅房,4000
89,1,1,文山區,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,1,1,1,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5500
90,0,0,士林區,4,公寓,1,0,男女生皆可,二個月,0,365,0,0,0,0,1,地下,1,1,0,1,1,1,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,雅房,5500
91,1,1,文山區,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,1,1,1,1,0,無,不可以,其他,1,不可以,雅房,6500
92,0,1,中山區,4,公寓,1,1,女生,二個月,1,90,0,0,0,1,1,地下,0,1,0,1,1,1,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5000
93,1,0,松山區,7,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,地下,0,1,0,0,1,1,0,學生、上班族、家庭,無,可以,木板,1,不可以,雅房,7000
94,1,1,大安區,4,華廈,0,0,男女生皆可,二個月,0,365,0,0,1,0,0,地下,0,1,0,0,1,1,1,0,無,不可以,水泥磚牆,1,不可以,雅房,6500
95,0,0,中山區,7,公寓,1,1,女生,二個月,0,365,0,0,0,1,1,地下,0,1,0,0,1,1,1,學生,無,不可以,木板,0,不可以,雅房,7000
96,1,1,萬華區,5,電梯大樓,1,1,男女生皆可,面議,0,365,0,0,0,1,1,地下,1,1,0,1,1,1,1,0,無,不可以,其他,1,不可以,雅房,4999
97,0,0,永和區,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,0,0,1,0,1,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
98,1,1,士林區,4,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,0,1,0,0,0,1,1,0,無,不可以,水泥磚牆,1,不可以,雅房,5000
99,1,1,士林區,6,公寓,0,1,男女生皆可,二個月,0,90,0,0,0,1,1,地下,0,1,0,0,0,1,1,0,無,不可以,水泥磚牆,1,不可以,雅房,5500
100,1,0,永和區,5,公寓,1,1,女生,一個月,1,180,0,0,0,1,1,地下,0,1,0,1,0,1,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,4000
101,1,1,新店區,4,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,地下,0,0,0,1,0,1,1,學生、上班族,無,可以,其他,0,不可以,雅房,5000
