@relation yaFang_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
1285,0,1,大安區,台北市大安區瑞安街244巷,5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6416381,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6000,1200
1300,0,1,信義區,台北市信義區忠孝東路五段790巷,4,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6418264,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,5500,1375
1308,1,1,大安區,台北市大安區泰順街40巷27號,2.5,公寓,0,1,男生,一個月,1,90,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6419292,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5200,2080
1344,0,1,大安區,台北市大安區和平東路二段118巷,3,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,0,6421693,1,學生、上班族,無,可以,輕材料,0,不可以,雅房,6500,2166.66666666667
1373,1,1,新店區,新北市新店區二十張路129巷,4.5,公寓,1,1,女生,一個月,1,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6424138,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5300,1177.77777777778
1374,1,1,北投區,台北市北投區石牌路一段39巷,3,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6424225,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500,1500
1386,1,1,中山區,台北市中山區松江路132巷17號,4,公寓,1,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6425307,1,學生,無,不可以,輕材料,0,不可以,雅房,4800,1200
1394,0,1,松山區,台北市松山區南京東路三段256巷,9,公寓,0,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,0,0,6425920,1,學生、上班族,無,不可以,輕材料,0,不可以,雅房,7800,866.666666666667
255,1,0,新店區,新北市新店區新店路27號,8,公寓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,1,1,0,1,1,1,6324231,1,0,無,可以,其他,1,不可以,雅房,6500,812.5
37,0,1,松山區,台北市松山區民權東路三段106巷,3,電梯大樓,0,1,男女生皆可,一個月,1,365,0,0,0,1,1,地下,0,1,0,1,0,1,5345785,0,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4800,1600
145,1,1,北投區,台北市北投區石牌路一段39巷,7,電梯大樓,0,1,男生,一個月,1,365,0,0,0,1,1,地下,1,1,0,1,1,1,6310031,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5200,742.857142857143
196,1,1,文山區,台北市文山區羅斯福路五段212巷,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,0,1,1,6317637,1,0,無,不可以,其他,1,不可以,雅房,6500,1300
346,0,0,三重區,新北市三重區中央北路55巷,4,公寓,0,1,男女生皆可,二個月,0,180,0,0,0,1,1,地下,0,1,0,1,1,0,6334403,1,0,無,不可以,其他,1,不可以,雅房,4200,1050
401,0,1,新莊區,新北市新莊區瓊林路38號,3,電梯大樓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,0,1,0,1,1,0,6340355,1,學生、上班族、家庭,無,不可以,木板,1,不可以,雅房,4000,1333.33333333333
412,1,1,文山區,台北市文山區景興路137巷1號,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,1,1,1,6340862,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5500,916.666666666667
440,0,0,士林區,台北市士林區忠誠路一段171巷,4,公寓,1,0,男女生皆可,二個月,0,365,0,0,0,0,1,地下,1,1,0,1,1,1,6343354,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,雅房,5500,1375
560,1,1,文山區,台北市文山區羅斯福路五段212巷,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,1,1,1,6356764,1,0,無,不可以,其他,1,不可以,雅房,6500,1300
574,0,1,中山區,台北市中山區建國北路二段226巷,4,公寓,1,1,女生,二個月,1,90,0,0,0,1,1,地下,0,1,0,1,1,1,6359347,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5000,1250
588,1,0,松山區,台北市松山區南京東路五段291巷20弄27號,7,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,地下,0,1,0,0,1,1,6360051,0,學生、上班族、家庭,無,可以,木板,1,不可以,雅房,7000,1000
597,1,1,大安區,台北市大安區敦化南路一段177巷,4,華廈,0,0,男女生皆可,二個月,0,365,0,0,1,0,0,地下,0,1,0,0,1,1,6361486,1,0,無,不可以,水泥磚牆,1,不可以,雅房,6500,1625
662,0,0,中山區,台北市中山區大直街39巷,7,公寓,1,1,女生,二個月,0,365,0,0,0,1,1,地下,0,1,0,0,1,1,6366948,1,學生,無,不可以,木板,0,不可以,雅房,7000,1000
